Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
Patterns by Clotilde,"Aprons! No one can have too many of them, whether her role is that of kitchenette hostess or the chatelaine of a large household. The four patterns illustrated fashion an acceptable variety of aprons, ranging from dainty little wisps, to assist in raiding the ice box on a midnight raid, to full...",176641815,Historical Newspapers," Clotilde
Clotilde"," Copyright Tribune Publishing Company Jun 8, 1941"," 517513192 , 6267782 , 53854", article," Jun 8, 1941",, English, English, h4," Chicago, Ill.","Jun 8, 1941",Chicago Daily Tribune (1923-1963),1941,http://search.proquest.com/docview/176641815?accountid=14496, H4,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=Patterns+by+Clotilde&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1941-06-08&amp;volume=&amp;issue=&amp;spage=H4&amp;au=Clotilde&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
GIVEAWAY,"[Randy Baird] smiled, too. ""We haven't bumped into each other for a long time. We ought to have a drink on it."" He handed her a thin- stemmed glass, and raised his own. The old toast had always been ""to us."" ""To you,"" he said. Randy spun the stem of the cocktail glass between his fingers. ""It's what you ve want- ed,"" he said, ""that has always counted with me. You know that."" ""I hope [Frank Wells] knows what a strange and independent little monkey he s getting."" Randy tried to smile. ""[ hope he catches on to all the cues - like, for instance, the way you used to let me know when it was time to hand over more money for you and the house. Before we were married you said you d never ask any man for money - and you never did.""",165215275,Historical Newspapers," Dennis, Robert
Robert
Robert Dennis
Dennis
Robert Dennis"," Copyright Times Mirror Company Jun 15, 1941"," 411328301 , 5707962 , 53850", article," Jun 15, 1941",0458-3035, English, English, J8," Los Angeles, Calif.","Jun 15, 1941",Los Angeles Times (1923-Current File),1941,http://search.proquest.com/docview/165215275?accountid=14496, J8,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=GIVEAWAY%3A+THEY+HAD+STAYED+APART+FOR+A+YEAR.+RANDY+WAS+STILL+TOO+PROUD+TO+MAKE+UP.+SO%2C+OF+COURSE%2C+WAS+JAN.+LET%27S+JOIN+THEM+FOR+EXACTLY+FOUR+MINUTES...+AND+WATCH%21&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1941-06-15&amp;volume=&amp;issue=&amp;spage=J8&amp;au=Dennis%2C+Robert&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
DEFENSE HOUSING UNIT: KITCHENETTE VIEW,,105740841,Historical Newspapers,," Copyright New York Times Company Oct 10, 1941"," 87681392-1 , 1509833 , 43896", article," Oct 10, 1941",0362-4331, English, English,," New York, N.Y.","Oct 10, 1941",New York Times (1923-Current file),1941,http://search.proquest.com/docview/105740841?accountid=14496, 19,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=DEFENSE+HOUSING+UNIT%3A+KITCHENETTE+VIEW&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1941-10-10&amp;volume=&amp;issue=&amp;spage=19&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
FIVE GIRLS FOUND IN 'REEFER' DEN,"The port of missing girls turned out to be two dingy kitchenette ""dope pads"" which police this week uncovered in course of a search for Yvonne Jean ReChard, 14, and Janith Reese, 18. Yvonne had been missing from home since October 15. The...",492635451,Historical Newspapers,," Copyright Real Times, Inc. Nov 1, 1941"," 741042542 , 7289432 , 68419", article," Nov 1, 1941",, English, English, 13," Chicago, Ill.","Nov 1, 1941",The Chicago Defender (National edition) (1921-1967),1941,http://search.proquest.com/docview/492635451?accountid=14496, 13,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=FIVE+GIRLS+FOUND+IN+%27REEFER%27+DEN%3A+POLICE+SEIZE+10+STUDENTS+IN+DOPE+ROUND-UP+UNCOVER+A+VICE+DEN+NEAR+HIGH+SCHOOL+IN+SEARCH+FOR+LOST+DAUGHTERS+THE+WAYS+OF+WAYWARD+YOUTH+LEAD+TO+JAIL+HEP-CATS%2C+WISE+GIRLS+CAUGHT+IN+DOPE+RAID&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1941-11-01&amp;volume=&amp;issue=&amp;spage=13&amp;au=&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
White Collar GIRL,"The girl with a career has wrought radical changes in the housing situation. Spacious, old homes which once accommodated a large family have been cut up into kitchenette apartments for the business girl who wants her own hearthstone, small tho it may be.",176588574,Historical Newspapers," RUTH MAC KAY
RUTH MAC KAY"," Copyright Tribune Publishing Company Nov 13, 1941"," 467830732 , 6067722 , 53854", article," Nov 13, 1941",, English, English,," Chicago, Ill.","Nov 13, 1941",Chicago Daily Tribune (1923-1963),1941,http://search.proquest.com/docview/176588574?accountid=14496, 23,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=White+Collar+GIRL%3A+A+Family+of+One.&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1941-11-13&amp;volume=&amp;issue=&amp;spage=23&amp;au=RUTH+MAC+KAY&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
18 Saved As Fire Razes Old Kitchenette Building,,492588982,Historical Newspapers,," Copyright Real Times, Inc. Dec 6, 1941"," 746550322 , 7327482 , 68419", article," Dec 6, 1941",, English, English, 13," Chicago, Ill.","Dec 6, 1941",The Chicago Defender (National edition) (1921-1967),1941,http://search.proquest.com/docview/492588982?accountid=14496, 13,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=18+Saved+As+Fire+Razes+Old+Kitchenette+Building&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1941-12-06&amp;volume=&amp;issue=&amp;spage=13&amp;au=&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
POVERTY MAY ROB MOTHER OF HER TWINS,"Besides being evicted from her little one-room kitchenette apartment at 4406 South Parkway, Tuesday, M rs. Marie Greene, 20, mother of three children, two of them six-week-old twin girls, now faces the possibility of losing custody...",492685086,Historical Newspapers,," Copyright Real Times, Inc. Dec 6, 1941"," 746550212 , 7327482 , 68419", article," Dec 6, 1941",, English, English, 12," Chicago, Ill.","Dec 6, 1941",The Chicago Defender (National edition) (1921-1967),1941,http://search.proquest.com/docview/492685086?accountid=14496, 12,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=POVERTY+MAY+ROB+MOTHER+OF+HER+TWINS%3A+RELIEF+FAILS%2C+WOMAN+IS+EVICTED%2C+COURT+HOLDS+CHILDREN&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1941-12-06&amp;volume=&amp;issue=&amp;spage=12&amp;au=&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
GAS POISONING KILLS MRS. E.M. OELRICHS,,105615205,Historical Newspapers,," Copyright New York Times Company Dec 16, 1941"," 105411340-1 , 1595049 , 43896", article," Dec 16, 1941",0362-4331, English, English,," New York, N.Y.","Dec 16, 1941",New York Times (1923-Current file),1941,http://search.proquest.com/docview/105615205?accountid=14496, 29,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=GAS+POISONING+KILLS+MRS.+E.M.+OELRICHS%3A+BODY+OF+BANKER%27S+SISTER+FOUND+IN+KITCHENETTE+OF+HOME&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1941-12-16&amp;volume=&amp;issue=&amp;spage=29&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
What The People Say,Dear Editor: I am writing what I believe to be some of the reasons for discrimination against colored people.,492683854,Historical Newspapers," A Citizen
A Citizen"," Copyright Real Times, Inc. Dec 20, 1941"," 741062912 , 7289472 , 68419", letter_to_editor," Dec 20, 1941",, English, English, 14," Chicago, Ill.","Dec 20, 1941",The Chicago Defender (National edition) (1921-1967),1941,http://search.proquest.com/docview/492683854?accountid=14496, 14,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=What+The+People+Say%3A+PREJUDICE+AND+LEADERSHIP&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1941-12-20&amp;volume=&amp;issue=&amp;spage=14&amp;au=A+Citizen&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
Punches Enliven Yule Occasions,"JUST because you are a homemaker who goes to business every day, or your kitchen is only a kitchenette, or because you have a spacious home but no maid to assist you, don't let anything keep you from entertaining your friends during the holidays.",165283869,Historical Newspapers,," Copyright Times Mirror Company Dec 21, 1941"," 414237291 , 5721462 , 53850", article," Dec 21, 1941",0458-3035, English, English, F4," Los Angeles, Calif.","Dec 21, 1941",Los Angeles Times (1923-Current File),1941,http://search.proquest.com/docview/165283869?accountid=14496, F4,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Punches+Enliven+Yule+Occasions&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1941-12-21&amp;volume=&amp;issue=&amp;spage=F4&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
VOICE OF THE PEOPLE,"I am from Washington, D. C., where there is no actual shortage of housing facilities [save one room kitchenette and bath apartment and modern bungalows situated within five minutes walk of government offices at rentals comparable to those ""back home"" when we were earning far less than government...",176675049,Historical Newspapers," EX-PARASITE
EX-PARASITE"," Copyright Tribune Publishing Company Feb 7, 1942"," 468064972 , 6068472 , 53854", letter_to_editor," Feb 7, 1942",, English, English,," Chicago, Ill.","Feb 7, 1942",Chicago Daily Tribune (1923-1963),1942,http://search.proquest.com/docview/176675049?accountid=14496, 12,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=VOICE+OF+THE+PEOPLE%3A+WASHINGTON+HOUSING.&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1942-02-07&amp;volume=&amp;issue=&amp;spage=12&amp;au=EX-PARASITE&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
"Twin Sisters, 90, Found Starving In Home a Few Steps From Food","Apparently so enfeebled by age that they could not walk the few steps to their well-stocked kitchenette, two 90-year-old twin sisters were found semi-conscious of malnutrition yesterday afternoon in their fourth-floor suite in the fourteen-story apartment building at 10 Sheridan Square, at the corner of Grove Street.",106409599,Historical Newspapers,," Copyright New York Times Company Mar 30, 1942"," 85303884 , 1494796 , 43896", article," Mar 30, 1942",0362-4331, English, English,," New York, N.Y.","Mar 30, 1942",New York Times (1923-Current file),1942,http://search.proquest.com/docview/106409599?accountid=14496, 19,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=Twin+Sisters%2C+90%2C+Found+Starving+In+Home+a+Few+Steps+From+Food%3A+Too+Enfeebled+to+Reach+Well-Stocked+Larder+in+Greenwich+Village+Apartment+--+Both+Die+After+Being+Taken+to+Hospital&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1942-03-30&amp;volume=&amp;issue=&amp;spage=19&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
