"proqfiles.Title","proqfiles.Abstract","proqfiles.Authors","proqfiles.placeOfPublication","proqfiles.pubdate","proqfiles.pubtitle","proqfiles.year"
"CITYS FIRST SHOW OF TRAILERS IS ON","With twenty assorted trailers from fourteen manufacturing companies bivouacked on the main drill floor of the Seventy-first Regiment Armory at Thirty-fourth Street and Park Avenue, and as many more expected to be on exhibition by Wednesday, New York's first alltrailer show opened yesterday morning at 11 o'clock.",""," New York, N.Y.","Sep 21, 1937","New York Times (1923-Current file)",1937
"Kitchenette Dinner Recipe Suggested","Little pig sausage and broiled peach halves make an excellent flavor combination for a kitchenette dinner. The little sausages should be pricked with the lines of a fork before placing on the broiler rack. This will prevent them from splitting in cooking.",""," Washington, D.C.","Oct 9, 1937","The Washington Post (1923-1954)",1937
"Thanksgiving Feast Possible In Kitchenette","THANKSGIVING in Washington will not be the traditional dinner for many of the bachelor boys and girls living in small apartments. In a tiny kitchenette it is impossible to prepare the roast turkey, ham, or chicken considered so necessary to this feast day.",""," Washington, D.C.","Nov 23, 1937","The Washington Post (1923-1954)",1937
"Christmas Dinner For Kitchenette Wins Post's Prize","A Christmas dinner for the business woman's household was awarded the second prize in The Post's menu contest. Mrs. Charles N. Malone, apartment 714, Stoneleigh Court, presented a plan for a dinner to be prepared and served in the kitchenette apartment.",""," Washington, D.C.","Dec 18, 1937","The Washington Post (1923-1954)",1937
"Belair Hotel to Convert Rooms Into Kitchenettes","",""," Chicago, Ill.","May 1, 1938","Chicago Daily Tribune (1923-1963)",1938
"Nursery Kitchenette Serves Dual Purpose","",""," Washington, D.C.","May 8, 1938","The Washington Post (1923-1954)",1938
"The GENTLER SEX",""," By Malvina landsav.
By Malvina landsav."," Washington, D.C.","May 25, 1938","The Washington Post (1923-1954)",1938
"ANGRY YOUNG WOMAN PUTS AN END TO KITCHENETTE HAREM","Arvin Howard, 27, of 5143 Prairie avenue, is an oriental sheik in WPA clothng, according to Officers McDonald and Crockett, of Fifth district police. Furthermore, Howard has maintained a one-room kitchenette harem all done up in oriental...",""," Chicago, Ill.","Jun 4, 1938","The Chicago Defender (National edition) (1921-1967)",1938
"Modern Dinettes, Kitchenettes Have Revolutionized Art of Entertaining at Meals",""," . By Elizabeth MacRae Boykin.
. By Elizabeth MacRae Boykin."," Washington, D.C.","Sep 18, 1938","The Washington Post (1923-1954)",1938
"It's Home in '41 For Mrs. Garner","WASHINGTON, Jan. 14.--If Mrs. John Nance Garner has her way she will leave Washington and settle down for good in Uvalde, Texas, when her husband finishes his term as Vice President in 1941."," By PAULINE FREDERICK Copyright, 1939, by NANA, Inc.
By PAULINE FREDERICK Copyright, 1939, by NANA, Inc."," New York, N.Y.","Jan 15, 1939","New York Times (1923-Current file)",1939
"Letters to The Times",""," A.H. KALMUS.J. BANTON JOHN.Mrs. F.C. WELLS.East Windsor Hill, Conn.,BASIL C. WALKER.J.R. DRANEY.ALBERT A. VOLK.ADELE M. KATZ.
A.H. KALMUS.J. BANTON JOHN.Mrs. F.C. WELLS.East Windsor Hill, Conn.,BASIL C. WALKER.J.R. DRANEY.ALBERT A. VOLK.ADELE M. KATZ."," New York, N.Y.","Jul 8, 1939","New York Times (1923-Current file)",1939
"Kitchenette Tip.","",""," Chicago, Ill.","Oct 22, 1939","Chicago Daily Tribune (1923-1963)",1939
"Kitchenette Tip.","",""," Chicago, Ill.","Oct 29, 1939","Chicago Daily Tribune (1923-1963)",1939
"Dr. Bousfield Puts Policy Barons And Kitchenettes Promoters In Same Class","From a purely academic point of view there is absolutely no way to condone gambling in any form. Policy and other forms of cheap gambling are community expressions of frustration and hopelessness. It is the drowning man grasping for a straw. There is no hope for the masses of Negroes on the South side ever to gain even a reasonable amount of money unless..."," DR M O BOUSFIELD
DR M O BOUSFIELD"," Chicago, Ill.","Dec 9, 1939","The Chicago Defender (National edition) (1921-1967)",1939
"BACKDOOR STUFF","THIS WEEK'S stint deals with the things that transpire on the stroll at night and what the chicks talk about in their kitchenettes during the day. I might say that to dig this jive involves some mathematical shindigs as well as a philosophical outlook on the whys and wherefores of the duck and dodge art First on this week's agenda is the story of the beauteous blonde from Broadway and the love she has for the horn-tooting bandleader which brings her to Sugar Hill after 2 o'clock every a.m. And it has developed that an..."," Burley, Dan
Dan
Dan Burley
Burley
Dan Burley"," New York, N.Y.","Apr 6, 1940","New York Amsterdam News (1938-1941)",1940
"The Shopper's Notebook","For every size and type of home these days there is a juice extractor that just fits the space and budget requirements. Whether your way of life calls for a huge electric wonder or the tiny hand variety which tucks into purse or suitcase, you can find..."," Bartlett, Maxine
Maxine
Maxine Bartlett
Bartlett
MAXINE BARTLETT"," Los Angeles, Calif.","May 17, 1940","Los Angeles Times (1923-Current File)",1940
"PICKETING OF KITCHENETTES",""," Brown, Lambert W
Lambert
Lambert W Brown
Brown
W
Lambert W Brown"," Chicago, Ill.","May 25, 1940","The Chicago Defender (National edition) (1921-1967)",1940
"$20,000 Furniture for Morgan Women's Home","Not only the luxuries of a cultural background have been included in the specifications for the $105,000 dormitory for women at Morgan State College, but such extras as a beauty shop, private parlors for individual entertaining and a kitchenette in...",""," Baltimore, Md.","Jun 29, 1940","Afro-American (1893-1988)",1940
"KITCHENETTE MANAGER SLAYS HUSBAND","Mrs. Verna Mae Gant, 38, of 421 East Forty-fifth street manager of a kitchenette apartment building in which she resides, is being held by police this week pending the outcome of an inquest into the death of her husband...",""," Chicago, Ill.","May 24, 1941","The Chicago Defender (National edition) (1921-1967)",1941
"DEFENSE HOUSING UNIT: KITCHENETTE VIEW","",""," New York, N.Y.","Oct 10, 1941","New York Times (1923-Current file)",1941
"THRIFTY MEALS","Kitchenette cooks must be good managers. Their space is limited, so they can't keep many supplies; on hand; time is limited and dishes must be prepared quickly; and--there's the budget!",""," Los Angeles, Calif.","Oct 31, 1941","Los Angeles Times (1923-Current File)",1941
"18 Saved As Fire Razes Old Kitchenette Building","",""," Chicago, Ill.","Dec 6, 1941","The Chicago Defender (National edition) (1921-1967)",1941
"EIGHTEEN SAVED IN KITCHENETTE FIRE","",""," Chicago, Ill.","Dec 6, 1941","The Chicago Defender (National edition) (1921-1967)",1941
"GAS POISONING KILLS MRS. E.M. OELRICHS","",""," New York, N.Y.","Dec 16, 1941","New York Times (1923-Current file)",1941
"3 Tots Dead, 15 Injured In Big Kitchenette Blaze","Trapped in a makeshift, tinderbox kitchenette when searing flames fanned ... swiftly through a three-story building at 2909 Prairie avenue, three frightened children huddled helplessly under a bed Wednesday while death closed in...",""," Chicago, Ill.","Jan 30, 1943","The Chicago Defender (National edition) (1921-1967)",1943
"Y.W.C.A. Starting Course in Kitchenette Cookery","",""," Chicago, Ill.","Oct 31, 1943","Chicago Daily Tribune (1923-1963)",1943
"ANDREW J. KERWIN, FORMER BUILDER, 76",""," Special to Ttiz Nzw NoP. T[MZS.
Special to Ttiz Nzw NoP. T[MZS."," New York, N.Y.","Nov 15, 1944","New York Times (1923-Current file)",1944
"Poetess Brooks Calmly Greets Book's Success In Kitchenette","Gwendolyn Brooks, winner for three straight years of the Midwest Poetry Award, had her first book of poetry, ""A Street in Bronzeville,"" released this week by Harper Brothers."," Peters, Marjorie
Marjorie
Marjorie Peters
Peters
MARJORIE PETERS"," Chicago, Ill.","Sep 1, 1945","The Chicago Defender (National edition) (1921-1967)",1945
"News of Food","Yesterday we paid our annual Christmas-season visit to the Swedish Kondis, 204 East Fiftyeighth Street, where Ivar Sundstrom and his wife, the proprietors, are preparing for the ninth year their gingerbread figures."," By JANE NICKERSON
By JANE NICKERSON"," New York, N.Y.","Dec 6, 1945","New York Times (1923-Current file)",1945
"$1.50 Butter Is Credited To Kitchenette Cream","",""," New York, N.Y.","Apr 27, 1946","New York Times (1923-Current file)",1946
"Hits 'Tattle Tale' Kitchenette Housekeepers",""," Webb, Oliver
Oliver
Oliver Webb
Webb
Oliver Webb"," Chicago, Ill.","May 18, 1946","The Chicago Defender (National edition) (1921-1967)",1946
"HOTEL ANSONIA IS SOLD","",""," New York, N.Y.","Oct 27, 1946","New York Times (1923-Current file)",1946
"Four Tots Die In Kitchenette Blaze","",""," Chicago, Ill.","Nov 13, 1948","The Chicago Defender (National edition) (1921-1967)",1948
"FOR MEN ONLY","An incident occurred the other evening which made me suddenly realize that many readers of this column may be laboring under a misapprehension regarding the preparation of the various dishes that are contained herein. My good friend Lou Harrington of the Wrigley"," Wood, Morrison
Morrison
Morrison Wood
Wood
MORRISON WOOD"," Chicago, Ill.","Oct 21, 1949","Chicago Daily Tribune (1923-1963)",1949
"WAY TO A MIGRANT'S HEART","",""," Manchester (UK)","Feb 20, 1953","The Manchester Guardian (1901-1959)",1953
"Kitchenettes made settlers happy","",""," Dublin, Ireland","Feb 20, 1953","The Irish Times (1921-Current File)",1953
"Simple Enjoys Silent Night, Holy Night When The Big Kitchenette Fight Is Over","""Things are certainly not the same for you this holiday season as they were last year,"" I said. ""Now that you are married, I think I see some change for the better in you."""," Hughes, LANGSTON
LANGSTON
LANGSTON Hughes
Hughes
LANGSTON Hughes"," Chicago, Ill.","Dec 26, 1953","The Chicago Defender (National edition) (1921-1967)",1953
"Simple Enjoys Silent Night, Holy Night When The Big Kitchenette Fight Is Over(2)","""Things are certainly not the same for you this holiday season as they were last year,"" I said. ""Now that you are married, I think I see some change for the better in you."""," Hughes, LANGSTON
LANGSTON
LANGSTON Hughes
Hughes
LANGSTON Hughes"," Chicago, Ill.","Dec 26, 1953","The Chicago Defender (National edition) (1921-1967)",1953
"DEATH OF ACTRESS","",""," Manchester (UK)","Apr 1, 1954","The Manchester Guardian (1901-1959)",1954
"At the National: Kitchenette, Bedroom And Sullavan -- Wow!","THAT LIGHT, civilized, improbable comedy a lot of us have been waiting for finally has arrived, the National's ""Janus."" This is good, literate fun, with Margaret Sullavan heading a dandy small cast which should be sending laughter through the National these next two weeks.",""," Washington, D.C.","Nov 9, 1955","The Washington Post and Times Herald (1954-1959)",1955
"PLUSH GIFT FROM TODD","",""," Los Angeles, Calif.","Jan 5, 1957","Los Angeles Times (1923-Current File)",1957
"A SIMPLE KITCHENETTE THANKSGIVING DINNER","YES, an elegant holiday meal can emerge from a small kitchen. The preparations of the scrumptious dishes described here are especially planned for you apartment dwellers with merely adequate space and a busy schedule. This Thanksgiving, rather than eating dinner in..."," Meade, Mary
Mary
Mary Meade
Meade
Mary Meade"," Chicago, Ill.","Nov 17, 1957","Chicago Daily Tribune (1923-1963)",1957
