Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
THE KITCHENETTE,,162451877,Historical Newspapers,," Copyright Times Mirror Company Apr 26, 1931"," 384162601 , 5569422 , 53850", article," Apr 26, 1931",0458-3035, English, English,," Los Angeles, Calif.","Apr 26, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162451877?accountid=14496, G7,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-04-26&amp;volume=&amp;issue=&amp;spage=G7&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
THE KITCHENETTE,,162418242,Historical Newspapers,," Copyright Times Mirror Company May 24, 1931"," 384268171 , 5569702 , 53850", article," May 24, 1931",0458-3035, English, English, G6," Los Angeles, Calif.","May 24, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162418242?accountid=14496, G6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-05-24&amp;volume=&amp;issue=&amp;spage=G6&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
THE KITCHENETTE,,162571666,Historical Newspapers," Sarfatty, Stella
Stella
Stella Sarfatty
Sarfatty
Stella Sarfatty"," Copyright Times Mirror Company May 31, 1931"," 384294271 , 5569772 , 53850", article," May 31, 1931",0458-3035, English, English,," Los Angeles, Calif.","May 31, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162571666?accountid=14496, F7,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE%3A+LITTLE+FRENCH+TARTS&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-05-31&amp;volume=&amp;issue=&amp;spage=F7&amp;au=Sarfatty%2C+Stella&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
THE KITCHENETTE,,162595862,Historical Newspapers," Prickett, Geraldine
Geraldine
Geraldine Prickett
Prickett
Geraldine Prickett"," Copyright Times Mirror Company Jun 14, 1931"," 384345941 , 5569912 , 53850", article," Jun 14, 1931",0458-3035, English, English, G6," Los Angeles, Calif.","Jun 14, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162595862?accountid=14496, G6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE%3A+SWISS+STEAK&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-06-14&amp;volume=&amp;issue=&amp;spage=G6&amp;au=Prickett%2C+Geraldine&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
THE KITCHENETTE,,162525972,Historical Newspapers," Sutton, Gene
Gene
Gene Sutton
Sutton
Gene Sutton"," Copyright Times Mirror Company Jun 21, 1931"," 384381391 , 5570142 , 53850", article," Jun 21, 1931",0458-3035, English, English, G6," Los Angeles, Calif.","Jun 21, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162525972?accountid=14496, G6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE%3A+COCOANUT+KISSES&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-06-21&amp;volume=&amp;issue=&amp;spage=G6&amp;au=Sutton%2C+Gene&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
"OH, FOR A KITCHENETTE TO MAKE A SIMPLE MEAL","If you arm one of those unfortunate beings who must eat his main meal in a tea-room seven times a week, you will welcome an opportunity to prepare a few simple menus in your...",530904947,Historical Newspapers,," Copyright Afro - American Company of Baltimore City Jun 27, 1931"," 1266101852 , 23698508 , 81124", review," Jun 27, 1931",, English, English,," Baltimore, Md.","Jun 27, 1931",Afro-American (1893-1988),1931,http://search.proquest.com/docview/530904947?accountid=14496, 15G,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpbaltimoreafricanamerican&amp;atitle=OH%2C+FOR+A+KITCHENETTE+TO+MAKE+A+SIMPLE+MEAL&amp;title=Afro-American+%281893-1988%29&amp;issn=&amp;date=1931-06-27&amp;volume=&amp;issue=&amp;spage=15G&amp;au=&amp;isbn=&amp;jtitle=Afro-American+%281893-1988%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Baltimore Afro-American
Tour of States Is Made By Flying Kitchenette,"Kansas City, Mo., July 19 (U.P.). -- A ""flying kitchenette"" airplane, complete even to the ice box and compact electric stove, now is being flown on a tour of the West by the Stinson Aircraft Co., of Detroit.",150154386,Historical Newspapers,," Copyright The Washington Post Company Jul 20, 1931"," 233833592 , 2004642 , 48614", article," Jul 20, 1931",, English, English, 3," Washington, D.C.","Jul 20, 1931",The Washington Post (1923-1954),1931,http://search.proquest.com/docview/150154386?accountid=14496, 3,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=Tour+of+States+Is+Made+By+Flying+Kitchenette&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1931-07-20&amp;volume=&amp;issue=&amp;spage=3&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
THE KITCHENETTE,,162475437,Historical Newspapers," Williams, Dorothy
Dorothy
Dorothy Williams
Williams
Dorothy Williams"," Copyright Times Mirror Company Jul 26, 1931"," 384631311 , 5573132 , 53850", article," Jul 26, 1931",0458-3035, English, English,," Los Angeles, Calif.","Jul 26, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162475437?accountid=14496, G7,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE%3A+STRAWBERRY+SHORTCAKE&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-07-26&amp;volume=&amp;issue=&amp;spage=G7&amp;au=Williams%2C+Dorothy&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
THE KITCHENETTE,,162463186,Historical Newspapers,," Copyright Times Mirror Company Aug 2, 1931"," 384678961 , 5574442 , 53850", article," Aug 2, 1931",0458-3035, English, English,," Los Angeles, Calif.","Aug 2, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162463186?accountid=14496, G6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-08-02&amp;volume=&amp;issue=&amp;spage=G6&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
THE KITCHENETTE,,162424596,Historical Newspapers," Iala Secondine
Iala Secondine"," Copyright Times Mirror Company Aug 9, 1931"," 384730151 , 5575772 , 53850", article," Aug 9, 1931",0458-3035, English, English,," Los Angeles, Calif.","Aug 9, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162424596?accountid=14496, G7,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE%3A+CUCUMBER+SALAD&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-08-09&amp;volume=&amp;issue=&amp;spage=G7&amp;au=Iala+Secondine&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
"MUM'S THE WORD, BUT THE BRAND IS KITCHENETTE SEC","Champagne making in the home, aided by the artistry, of traveling winemakers, appears to be growing in 1931, under the benevolent smile which Volsteadism has turned upon California's sun kissed grape industry and its ""grape concentrates.""",181233620,Historical Newspapers," Evans, Arthur
Arthur
Arthur Evans
Evans
ARTHUR EVANS"," Copyright Tribune Publishing Company Aug 14, 1931"," 458039012 , 6007542 , 53854", article," Aug 14, 1931",, English, English,," Chicago, Ill.","Aug 14, 1931",Chicago Daily Tribune (1923-1963),1931,http://search.proquest.com/docview/181233620?accountid=14496, 6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=MUM%27S+THE+WORD%2C+BUT+THE+BRAND+IS+KITCHENETTE+SEC%3A+FOLKS+TURN+TO+HOMEMADE+BUBBLE+WATER.&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1931-08-14&amp;volume=&amp;issue=&amp;spage=6&amp;au=Evans%2C+Arthur&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
THE KITCHENETTE,"Grease a pudding mold or bowl, then put in the bread crumbs and marmalade in thin layers, till all are used. Beat the eggs very lightly, yolks and whites together, and add the milk to form a custard. Pour over the ingredients in the bowl and let stand ten minutes.",162489142,Historical Newspapers," Lachapelle, Harold
Harold
Harold Lachapelle
Lachapelle
Harold Lachapelle"," Copyright Times Mirror Company Aug 23, 1931"," 384829101 , 5578282 , 53850", article," Aug 23, 1931",0458-3035, English, English, G7," Los Angeles, Calif.","Aug 23, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162489142?accountid=14496, G7,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE%3A+MARMALADE+PUDDING&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-08-23&amp;volume=&amp;issue=&amp;spage=G7&amp;au=Lachapelle%2C+Harold&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
THE KITCHENETTE,"One cup sugar, one-eighth teaspoon cream of tartar, three-fourths cup water, three-fourths cup of nuts.",162540077,Historical Newspapers," Ball, Eileen
Eileen
Eileen Ball
Ball
Eileen Ball"," Copyright Times Mirror Company Aug 30, 1931"," 384875261 , 5579382 , 53850", article," Aug 30, 1931",0458-3035, English, English, G6," Los Angeles, Calif.","Aug 30, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162540077?accountid=14496, G6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE%3A+PEANUT+BRITTLE&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-08-30&amp;volume=&amp;issue=&amp;spage=G6&amp;au=Ball%2C+Eileen&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
THE KITCHENETTE,,162487165,Historical Newspapers,," Copyright Times Mirror Company Sep 6, 1931"," 384923371 , 5580872 , 53850", article," Sep 6, 1931",0458-3035, English, English, G6," Los Angeles, Calif.","Sep 6, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162487165?accountid=14496, G6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-09-06&amp;volume=&amp;issue=&amp;spage=G6&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
THE KITCHENETTE,,162413372,Historical Newspapers," Krueger, Fern
Fern
Fern Krueger
Krueger
Fern Krueger"," Copyright Times Mirror Company Sep 13, 1931"," 379285591 , 5546252 , 53850", article," Sep 13, 1931",0458-3035, English, English,," Los Angeles, Calif.","Sep 13, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162413372?accountid=14496, G6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE%3A+HOLE-IN-THE-MIDDLE-CAKE&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-09-13&amp;volume=&amp;issue=&amp;spage=G6&amp;au=Krueger%2C+Fern&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
