Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
"SWINDLER A SUICIDE, IN FEAR OF PRISON","Fear of further prosecution prompted Gerald W. Tiffany, notorious bucket-shop swindler free on probation, to end his life yesterday by inhaling illuminating gas in the apartment of a friend on the ninth floor of 17 West Sixty-fourth Street.",105593735,Historical Newspapers,," Copyright New York Times Company Sep 26, 1941"," 104304765-1 , 1590497 , 43896", article," Sep 26, 1941",0362-4331, English, English, 17," New York, N.Y.","Sep 26, 1941",New York Times (1923-Current file),1941,http://search.proquest.com/docview/105593735?accountid=14496, 17,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=SWINDLER+A+SUICIDE%2C+IN+FEAR+OF+PRISON%3A+DIES+BY+GAS+IN+FRIEND%27S+HOME+--+BLAST+WRECKS+APARTMENT&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1941-09-26&amp;volume=&amp;issue=&amp;spage=17&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
HOUSEWIVES CAN LEARN MUCH FROM AIRLINES' KITCHENS,She runs eight kitchens--and must travel 5303 miles to reach all of them!,165233772,Historical Newspapers," Finley, Maxine
Maxine
Maxine Finley
Finley
MAXINE FINLEY"," Copyright Times Mirror Company Oct 31, 1941"," 414043811 , 5720952 , 53850", article," Oct 31, 1941",0458-3035, English, English, B25," Los Angeles, Calif.","Oct 31, 1941",Los Angeles Times (1923-Current File),1941,http://search.proquest.com/docview/165233772?accountid=14496, B25,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=HOUSEWIVES+CAN+LEARN+MUCH+FROM+AIRLINES%27+KITCHENS&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1941-10-31&amp;volume=&amp;issue=&amp;spage=B25&amp;au=Finley%2C+Maxine&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
Insurance Company Sells Uptown Apartment Hotel,,176700271,Historical Newspapers,," Copyright Tribune Publishing Company Nov 9, 1941"," 517693392 , 6268002 , 53854", article," Nov 9, 1941",, English, English, 25," Chicago, Ill.","Nov 9, 1941",Chicago Daily Tribune (1923-1963),1941,http://search.proquest.com/docview/176700271?accountid=14496, 25,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=Insurance+Company+Sells+Uptown+Apartment+Hotel&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1941-11-09&amp;volume=&amp;issue=&amp;spage=25&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Children of Tomorrow,LITTLE ITEMS behind the news seldom creep into the stories in the papers.,492668101,Historical Newspapers,," Copyright Real Times, Inc. Jan 24, 1942"," 761534532 , 7468102 , 68419", article," Jan 24, 1942",, English, English, 15," Chicago, Ill.","Jan 24, 1942",The Chicago Defender (National edition) (1921-1967),1942,http://search.proquest.com/docview/492668101?accountid=14496, 15,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=Children+of+Tomorrow&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1942-01-24&amp;volume=&amp;issue=&amp;spage=15&amp;au=&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
LET'S TALK IT OVER! With Alma Whitaker,"KINDNESS continues to flow in for Jewel W., age 19, expectant mamma, deserted by husband. These included even a possible job for her worried father, seeds for that victory garden, baby things, and an anonymous $2 (San Fernando...",165347102,Historical Newspapers,," Copyright Times Mirror Company May 22, 1942"," 414668841 , 5723002 , 53850", article," May 22, 1942",0458-3035, English, English, A9," Los Angeles, Calif.","May 22, 1942",Los Angeles Times (1923-Current File),1942,http://search.proquest.com/docview/165347102?accountid=14496, A9,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=LET%27S+TALK+IT+OVER%21+With+Alma+Whitaker&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1942-05-22&amp;volume=&amp;issue=&amp;spage=A9&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
An Outdoor Rumpus Room,IN THE section of San Marino where Orison Ruddy's residence is located a unique condition exists in that out of 10 immediate neighbors there are eight that have badminton courts and five that have built barbecues.,165398756,Historical Newspapers," WOODWARD RADCLIFFE
WOODWARD RADCLIFFE"," Copyright Times Mirror Company Nov 8, 1942"," 416459481 , 5730222 , 53850", article," Nov 8, 1942",0458-3035, English, English, G17," Los Angeles, Calif.","Nov 8, 1942",Los Angeles Times (1923-Current File),1942,http://search.proquest.com/docview/165398756?accountid=14496, G17,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=An+Outdoor+Rumpus+Room&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1942-11-08&amp;volume=&amp;issue=&amp;spage=G17&amp;au=WOODWARD+RADCLIFFE&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
"ICKES MAY ENJOY LUXURY BATH IN OFFICE HERE, TOO","Just about any time now, Secretary of the Interior Harold L. Ickes can move into his new and homelike office on the 11th floor of the Merchandise Mart. It was constructed as part of a suite for his convenience at such times as he drops in from Washington to visit his help in the Indian...",176845831,Historical Newspapers,," Copyright Tribune Publishing Company Nov 23, 1942"," 468733852 , 6070942 , 53854", article," Nov 23, 1942",, English, English,," Chicago, Ill.","Nov 23, 1942",Chicago Daily Tribune (1923-1963),1942,http://search.proquest.com/docview/176845831?accountid=14496, 4,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=ICKES+MAY+ENJOY+LUXURY+BATH+IN+OFFICE+HERE%2C+TOO%3A+IT%27S+A+BEAUT%2C+JUST+LIKE+HIS+CAPITAL+DOVECOTE.&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1942-11-23&amp;volume=&amp;issue=&amp;spage=4&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
U.S. Dormitory Opens in June,,151641502,Historical Newspapers,," Copyright The Washington Post Company Feb 11, 1943"," 234190442 , 2005812 , 48614", article," Feb 11, 1943",, English, English,," Washington, D.C.","Feb 11, 1943",The Washington Post (1923-1954),1943,http://search.proquest.com/docview/151641502?accountid=14496, B5,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=U.S.+Dormitory+Opens+in+June&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1943-02-11&amp;volume=&amp;issue=&amp;spage=B5&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
MANY REMODEL HOMES TO BRING NEW REVENUES,Many people today are finding some revenue producing space in their homes. Some are even discovering that a rentable apartment is lurking in their house and remodeling with a view to building a second home within their four walls.,176698151,Historical Newspapers," BARGELT, LOUISE
LOUISE
LOUISE BARGELT
BARGELT
LOUISE BARGELT"," Copyright Tribune Publishing Company Feb 14, 1943"," 475038252 , 6085202 , 53854", article," Feb 14, 1943",, English, English,," Chicago, Ill.","Feb 14, 1943",Chicago Daily Tribune (1923-1963),1943,http://search.proquest.com/docview/176698151?accountid=14496, W6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=MANY+REMODEL+HOMES+TO+BRING+NEW+REVENUES%3A+USABLE+SPACE+MAY+LURK+IN+ODD+CORNERS.&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1943-02-14&amp;volume=&amp;issue=&amp;spage=W6&amp;au=BARGELT%2C+LOUISE&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Cook Books Seem to Ignore A Palatable Combination,,106723737,Historical Newspapers," KITCHENETTE
KITCHENETTE"," Copyright New York Times Company Apr 25, 1943"," 85101285-1 , 1494000 , 43896", letter_to_editor," Apr 25, 1943",0362-4331, English, English,," New York, N.Y.","Apr 25, 1943",New York Times (1923-Current file),1943,http://search.proquest.com/docview/106723737?accountid=14496, E11,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=Cook+Books+Seem+to+Ignore+A+Palatable+Combination&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1943-04-25&amp;volume=&amp;issue=&amp;spage=E11&amp;au=KITCHENETTE&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
EVERYBODY GOES WHEN the WAGON COMES,"THE COOL BREEZES are sweeping in from Lake Michigan and its just a matter of days before Chicagoans will have to don the woolens... The usual ""playing"" along the streets automatically ceases when the cold wind blows, thus forcing the cats and chicks to their hideouts in flats and kitchenettes... But it makes no difference whether you're in a flat or on the streets. NOSEY will get the news and you can get your life that when the WAGON comes.",492765172,Historical Newspapers," NOSEY, OLE
OLE
OLE NOSEY
NOSEY
OLE NOSEY"," Copyright Real Times, Inc. Oct 2, 1943"," 741355532 , 7290122 , 68419", article," Oct 2, 1943",, English, English, 12," Chicago, Ill.","Oct 2, 1943",The Chicago Defender (National edition) (1921-1967),1943,http://search.proquest.com/docview/492765172?accountid=14496, 12,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=EVERYBODY+GOES+WHEN+the+WAGON+COMES&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1943-10-02&amp;volume=&amp;issue=&amp;spage=12&amp;au=NOSEY%2C+OLE&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
SUICIDE LAID TO BOMBINGS,,106490559,Historical Newspapers,," Copyright New York Times Company Dec 13, 1943"," 87429948-1 , 1508428 , 43896", article," Dec 13, 1943",0362-4331, English, English,," New York, N.Y.","Dec 13, 1943",New York Times (1923-Current file),1943,http://search.proquest.com/docview/106490559?accountid=14496, 25,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=SUICIDE+LAID+TO+BOMBINGS%3A+WOMAN+WITH+KIN+IN+REICH+WAS+DESPONDENT+OVER+RAIDS&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1943-12-13&amp;volume=&amp;issue=&amp;spage=25&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
SAMSON OFFERS HELP IN ALARM CLOCK SHORTAGE,"over the loop, the first rays of morning touch a box attached to the rear window of Fager studio. 59 E. Wacker dr.... and a cock It is Samson, pet cock of Fager, artist and creator of art pieces.",176947532,Historical Newspapers," Flavin, Genevieve
Genevieve
Genevieve Flavin
Flavin
GENEVIEVE FLAVIN"," Copyright Tribune Publishing Company Sep 3, 1944"," 472856302 , 6080662 , 53854", article," Sep 3, 1944",, English, English,," Chicago, Ill.","Sep 3, 1944",Chicago Daily Tribune (1923-1963),1944,http://search.proquest.com/docview/176947532?accountid=14496, N2,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=SAMSON+OFFERS+HELP+IN+ALARM+CLOCK+SHORTAGE%3A+ROOSTER+JUST+AS+RELIABLE+AND+TWICE+AS+LOUD.&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1944-09-03&amp;volume=&amp;issue=&amp;spage=N2&amp;au=Flavin%2C+Genevieve&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
