uniquedocs_df.Title,uniquedocs_df.Abstract,uniquedocs_df.Authors,uniquedocs_df.placeOfPublication,uniquedocs_df.pubdate,uniquedocs_df.pubtitle,uniquedocs_df.year
GIVEAWAY,"[Randy Baird] smiled, too. ""We haven't bumped into each other for a long time. We ought to have a drink on it."" He handed her a thin- stemmed glass, and raised his own. The old toast had always been ""to us."" ""To you,"" he said. Randy spun the stem of the cocktail glass between his fingers. ""It's what you ve want- ed,"" he said, ""that has always counted with me. You know that."" ""I hope [Frank Wells] knows what a strange and independent little monkey he s getting."" Randy tried to smile. ""[ hope he catches on to all the cues - like, for instance, the way you used to let me know when it was time to hand over more money for you and the house. Before we were married you said you d never ask any man for money - and you never did."""," Dennis, Robert
Robert
Robert Dennis
Dennis
Robert Dennis"," Los Angeles, Calif.",15-Jun-41,Los Angeles Times (1923-Current File),1941
DEFENSE HOUSING UNIT: KITCHENETTE VIEW,,," New York, N.Y.",10-Oct-41,New York Times (1923-Current file),1941
FIVE GIRLS FOUND IN 'REEFER' DEN,"The port of missing girls turned out to be two dingy kitchenette ""dope pads"" which police this week uncovered in course of a search for Yvonne Jean ReChard, 14, and Janith Reese, 18. Yvonne had been missing from home since October 15. The...",," Chicago, Ill.",1-Nov-41,The Chicago Defender (National edition) (1921-1967),1941
White Collar GIRL,"The girl with a career has wrought radical changes in the housing situation. Spacious, old homes which once accommodated a large family have been cut up into kitchenette apartments for the business girl who wants her own hearthstone, small tho it may be."," RUTH MAC KAY
RUTH MAC KAY"," Chicago, Ill.",13-Nov-41,Chicago Daily Tribune (1923-1963),1941
18 Saved As Fire Razes Old Kitchenette Building,,," Chicago, Ill.",6-Dec-41,The Chicago Defender (National edition) (1921-1967),1941
POVERTY MAY ROB MOTHER OF HER TWINS,"Besides being evicted from her little one-room kitchenette apartment at 4406 South Parkway, Tuesday, M rs. Marie Greene, 20, mother of three children, two of them six-week-old twin girls, now faces the possibility of losing custody...",," Chicago, Ill.",6-Dec-41,The Chicago Defender (National edition) (1921-1967),1941
GAS POISONING KILLS MRS. E.M. OELRICHS,,," New York, N.Y.",16-Dec-41,New York Times (1923-Current file),1941
What The People Say,Dear Editor: I am writing what I believe to be some of the reasons for discrimination against colored people.," A Citizen
A Citizen"," Chicago, Ill.",20-Dec-41,The Chicago Defender (National edition) (1921-1967),1941
Punches Enliven Yule Occasions,"JUST because you are a homemaker who goes to business every day, or your kitchen is only a kitchenette, or because you have a spacious home but no maid to assist you, don't let anything keep you from entertaining your friends during the holidays.",," Los Angeles, Calif.",21-Dec-41,Los Angeles Times (1923-Current File),1941
VOICE OF THE PEOPLE,"I am from Washington, D. C., where there is no actual shortage of housing facilities [save one room kitchenette and bath apartment and modern bungalows situated within five minutes walk of government offices at rentals comparable to those ""back home"" when we were earning far less than government..."," EX-PARASITE
EX-PARASITE"," Chicago, Ill.",7-Feb-42,Chicago Daily Tribune (1923-1963),1942
"Twin Sisters, 90, Found Starving In Home a Few Steps From Food","Apparently so enfeebled by age that they could not walk the few steps to their well-stocked kitchenette, two 90-year-old twin sisters were found semi-conscious of malnutrition yesterday afternoon in their fourth-floor suite in the fourteen-story apartment building at 10 Sheridan Square, at the corner of Grove Street.",," New York, N.Y.",30-Mar-42,New York Times (1923-Current file),1942
SHE KNOWS WHAT WE LIKE,"PRODUCER Cheryl Crawford, with two smash hits on Broadway this season, takes cooking in her stride also. ""I learned to cook when I had to, and now I like it,"" she says. So she raises chives in her kitchenette window, turns out a wonderful one-dish meal in the..."," Turner, Grace
Grace
Grace Turner
Turner
Grace Turner"," Los Angeles, Calif.",24-May-42,Los Angeles Times (1923-Current File),1942
Notes for the Shopper,"The four-story brownstones of our grandparents' day included capacious attics, storage space and roomy basements. Now, when two rooms and a kitchenette are more the order of the day, the waste-space problem presents itself in reverse -- how to arrange condensed living quarters most efficiently."," By MARY MADISON
By MARY MADISON"," New York, N.Y.",30-Aug-42,New York Times (1923-Current file),1942
MOTHER AND TWO SISTERS SLAIN IN 'MERCY' DEATHS,"Detectives and investigators for the coroner's office were striving last night to learn the motives behind the supposed suicide pact of an aged mother and two daughters whose bodies, each pierced by a single bullet, were found yesterday afternoon in their kitchenette apartment in the...",," Chicago, Ill.",18-Sep-42,Chicago Daily Tribune (1923-1963),1942
Public Service,Letters to this department must be signed with the names and addresses of the writers. For a personal reply a stamped addressed envelope must accompany the inquiry.,," Chicago, Ill.",3-Oct-42,The Chicago Defender (National edition) (1921-1967),1942
"3 Tots Dead, 15 Injured In Big Kitchenette Blaze","Trapped in a makeshift, tinderbox kitchenette when searing flames fanned ... swiftly through a three-story building at 2909 Prairie avenue, three frightened children huddled helplessly under a bed Wednesday while death closed in...",," Chicago, Ill.",30-Jan-43,The Chicago Defender (National edition) (1921-1967),1943
White Collar GIRL,"""The white collar girl who has 17 pieces of glassware in her kitchenette and still is wondering where to put the six ruby goblets her Aunt Myrtle sent her at Christmas should survey the 'housekeeping' done by Maj. Henry K. Dougan of the United States army, and take heart."," MacKay, Ruth
Ruth
Ruth MacKay
MacKay
RUTH MACKAY"," Chicago, Ill.",20-Feb-43,Chicago Daily Tribune (1923-1963),1943
Article 30 -- No Title,LUCY fiddled with the key for some time before trying the knob and finding the door unlocked. She went into the tiny apartment with the resolve to be more careful. San Francisco wasn't like Idaho. She was crossing to the kitchenette when she saw Bill--and gave a small gasp.," Taylor, Samuel W
Samuel
Samuel W Taylor
Taylor
W
Samuel W Taylor , Timmins, Harry L
Harry
Harry L Timmins
Timmins
L
Harry L Timmins"," Los Angeles, Calif.",20-Jun-43,Los Angeles Times (1923-Current File),1943
Y.W.C.A. Starting Course in Kitchenette Cookery,,," Chicago, Ill.",31-Oct-43,Chicago Daily Tribune (1923-1963),1943
LONDON Calling,"LONDON--One thing the two cities of Chicago and London have in common is the black markets which operate under supervision of the policemen on the beat instead of under a license from city hall. Another one thing they got in common is the underground tube system and lots of taxicabs, except the London taxis are very tight in space but make up for it by the very large size of the rates to Americans. The London taxis are very dinky, about the measurement of a one-room kitchenette on Chicago's South side; and that is not doing..."," DAVID H ORRO Defender War Correspondent
DAVID H ORRO Defender War Correspondent"," Chicago, Ill.",13-Nov-43,The Chicago Defender (National edition) (1921-1967),1943
PLANTS FOR FISH BOWLS,"THERE isn't any law which says that the only plant usable in a goldfish bowl is the ""seaweed"" commonly sold in pet shops and dime stores. Other small aquatic plants, while not exactly capable of satisfying the desire of would-be private lake owners for lotuses and water lilies and kitchenette-sized floating leaves, are nevertheless more unusual and interesting than the overworked Anacharis."," R.M.P.
R.M.P."," New York, N.Y.",23-Jan-44,New York Times (1923-Current file),1944
Bessie Cowles Is Bride Today of Lt. Armour,"FEW war time newlyweds are able to find a sweet little rose covered cottage for two, or even a one room kitchenette, in which to start their married lives at some crowded army or navy post. Living quarters are particularly scarce at Wendover field, Utah,..."," Cass, Judith
Judith
Judith Cass
Cass
JUDITH CASS"," Chicago, Ill.",25-Mar-44,Chicago Daily Tribune (1923-1963),1944
On the Aisle,"When our company of ""The Voice of the Turtle"" opens at the Selwyn Oct. 2, built-in kitchenette and all, K. T. Stevens will be acting the Margaret Sullavan..."," Cassidy, Claudia
Claudia
Claudia Cassidy
Cassidy
Claudia Cassidy"," Chicago, Ill.",4-Jul-44,Chicago Daily Tribune (1923-1963),1944
These Dishes Lend Variety to Meat Balls,"Meat balls are a summer main dish over which there's no need to fret. They're easy to prepare, always tender, and may be cooked stove-top fashion, which is a distinct advantage in kitchenette apartments on hot days."," Meade, Mary
Mary
Mary Meade
Meade
MARY MEADE"," Chicago, Ill.",25-Aug-44,Chicago Daily Tribune (1923-1963),1944
No Room for the Baby,"FINDING a place to put a new baby may be a puzzling question in your house. You haven't been able to move from your one room and kitchenette; you still have only a bedroom and bath. Still it's up to you to see he has the best of care: to see his bath water is warm and ""sudsy"" the way he likes it..."," Langley, Nancy C
Nancy
Nancy C Langley
Langley
C
NANCY C LANGLEY"," Los Angeles, Calif.",11-Feb-45,Los Angeles Times (1923-Current File),1945
France Plans Simpler homes in War Areas,"New three room apartments complete with central heating, kitchenettes, and bathrooms will be built soon in the war ravaged coastal cities of France, according to plans revealed today by Raoul Dautry, minister of reconstruction."," Bruyere, Anne
Anne
Anne Bruyere
Bruyere
ANNE BRUYERE"," Chicago, Ill.",14-Nov-45,Chicago Daily Tribune (1923-1963),1945
News of Food,"Yesterday we paid our annual Christmas-season visit to the Swedish Kondis, 204 East Fiftyeighth Street, where Ivar Sundstrom and his wife, the proprietors, are preparing for the ninth year their gingerbread figures."," By JANE NICKERSON
By JANE NICKERSON"," New York, N.Y.",6-Dec-45,New York Times (1923-Current file),1945
SHOPS AGAIN OFFER ELECTRIC COOKERS,"ÿ Provided they are luckier in finding some of the new electrical cooking appliances than they were finding an apartment, persons now living in borrowed quarters or rooms without kitchenette may become adept at cooking.",," New York, N.Y.",26-Jan-46,New York Times (1923-Current file),1946
RENTALS $22 TO $46 IN FOX HILLS HOMES,"Rentals for apartments in the former barracks at Fox Hills Army Terminal, Staten Island, which together with the former Coast Guard Training Station at Manhattan Beach, Brooklyn, is being converted by the State into an emergency housing project for veterans were announces yesterday.",," New York, N.Y.",31-Jan-46,New York Times (1923-Current file),1946
$1.50 Butter Is Credited To Kitchenette Cream,,," New York, N.Y.",27-Apr-46,New York Times (1923-Current file),1946
Hits 'Tattle Tale' Kitchenette Housekeepers,," Webb, Oliver
Oliver
Oliver Webb
Webb
Oliver Webb"," Chicago, Ill.",18-May-46,The Chicago Defender (National edition) (1921-1967),1946
"FIND THE SPACE AND YOU BUILD IT, IS VETS' ADVICE","If you are a former GI or a home-dispossessed civilian and are considering pitching a tent in Lincoln park to solve your housing woes, don't do it! There's a better solution.",," Chicago, Ill.",19-May-46,Chicago Daily Tribune (1923-1963),1946
HOTEL ANSONIA IS SOLD,,," New York, N.Y.",27-Oct-46,New York Times (1923-Current file),1946
HOME,"THE first room to be converted was a second-floor drawing room (below). It measured 16 by 22 feet, had a thirteen-foot ceiling and characteristic trimmings --a lavishly carved marble fireplace, tall recessed windows graced by folding jalousies, and a huge double doorway. To become a one-room apartment it had to have cooking facilities, which could be accommodated easily enough in a corner space measuring approximately 4 by 7 feet."," By MARY ROCHE
By MARY ROCHE"," New York, N.Y.",2-Mar-47,New York Times (1923-Current file),1947
Washing and Ironing and Cleaning at End of Run,"HOUSEKEEPING is housekeeping, whether it is done in a 1 1/2-room kitchenette apartment, an ocean liner, a train or in a four-engine, 300mile-an-hour transatlantic airplane. Which explains why a corner of Pan American World Airways' lofty hangers at La Guardia Field is equipped with an electric laundry machine and a clothes line."," By VIVIAN CAMPBELL
By VIVIAN CAMPBELL"," New York, N.Y.",4-May-47,New York Times (1923-Current file),1947
' Favorite Recipes for Country Kitchens' Offers Rural Housewives' Prize Dishes,"There's no generalizing about American cooking. In a New York kitchenette, it's one thing; on a South Dakota farm, another: in a New Orleans household, still different. But in considering the various styles, one emerges that might be called simply ""country."""," By JANE NICKERSON
By JANE NICKERSON"," New York, N.Y.",5-Aug-47,New York Times (1923-Current file),1947
CROWDED ARIZONA,"PHOENIX, Ariz. -- A summer of construction work at Arizona hotels and resort centers has augmented winter tourist accommodations somewhat, but shortages of material and labor and transportation difficulties have upset plans to enlarge available facilities to the extent required by last winter's great crowds."," By FRANCIS J. CUMMINGS
By FRANCIS J. CUMMINGS"," New York, N.Y.",16-Nov-47,New York Times (1923-Current file),1947
One Room Can Be Made Into Attractive Home,"A BRIDE-TO-BE wrote me the other day and asked a question that has been asked very often lately. ""Ted and I plan to be married in May. We have been fortunate enough to find a one-room apartment with kitchenette and bath, which is quite a feat in this day. Now that we have the apartment we're beginning to worry about the furniture. How can we furnish a one-room apartment now, and yet have this furniture fit into a house later on? What should we buy?"""," By Dorothy Draper
By Dorothy Draper"," Washington, D.C.",21-Mar-48,The Washington Post (1923-1954),1948
HOUSES DOMINATE MANHATTAN DEALS,"In a cash transaction reported over the week-end the vacant five-story brownstone building containing eight kitchenette apartments at 56 East Seventy-ninth Street, between Madison and Park Avenues, was sold by Emily Henschel and others to an investing client of Robert Carson, attorney.",," New York, N.Y.",21-Jun-48,New York Times (1923-Current file),1948
Product Previews,"NEATEST contribution to comfortable living and informal hospitality we've seen in a long while is a new ""kitchenette in a cabinet"" called The Butterie. Although smaller than the average household refrigerator, it is compactly arranged to provide a sizable work table, an auxiliary pull-out sandwich or cutting board, a 2.2 cubic foot refrigerator with two standard ice cube trays, a cutlery drawer and storage space for dishes, glassware and foodstuffs.",," Washington, D.C.",19-Sep-48,The Washington Post (1923-1954),1948
Prize Design for One-room Home,,," Chicago, Ill.",31-Oct-48,Chicago Daily Tribune (1923-1963),1948
Four Tots Die In Kitchenette Blaze,,," Chicago, Ill.",13-Nov-48,The Chicago Defender (National edition) (1921-1967),1948
CLOSET DOOR RACKS ADD STORING SPACE,"To help remove the clutter from the too-few closets of many apartments, new storage equipment has been designed that makes good use of the plain wood surfaces of doors to hall closets, bathrooms and kitchenettes. New attachments now available make the backs of these doors as serviceable as those in clothes closets, which usually are burdened with tie racks, hooks and the like.",," New York, N.Y.",19-Feb-49,New York Times (1923-Current file),1949
TOWER TICKER,"TABLE TALK: One of the nicer privileges of our youth, and one we keenly miss today, is eating in the kitchen. Today's apartment kitchenettes, constructed along the same lines as the Japanese one man submarine and having the same suicidal"," Savage
Savage
Savage
Savage"," Chicago, Ill.",9-Apr-49,Chicago Daily Tribune (1923-1963),1949
News of Food,Those apartment dwellers who can barely fit another frying pan into their kitchenettes will have no interest in this column. Today this space is devoted to news for those happy householders who have space in which to breathe -- and room for a home freezer as well. Or perhaps they merely rent a locker in a plant near by.," By JANE NICKERSON
By JANE NICKERSON"," New York, N.Y.",11-Jun-49,New York Times (1923-Current file),1949
News of Food,"Where kitchenette cooks are concerned, no need to labor the point that an oven operating at full tilt produces too much heat for comfort on a day typical of a New York summer."," By JANE NICKERSON
By JANE NICKERSON"," New York, N.Y.",23-Jul-49,New York Times (1923-Current file),1949
Housing Act Starts Scramble For New Homes,"SINCE MID-JULY, attention of public housing advocates and those in dire need of such relief has been focused on the possible benefits to accrue from the signing by President Truman of the Housing Act of 1949."," Barnett, ALBERT
ALBERT
ALBERT Barnett
Barnett
ALBERT Barnett"," Chicago, Ill.",6-Aug-49,The Chicago Defender (National edition) (1921-1967),1949
FOR MEN ONLY,An incident occurred the other evening which made me suddenly realize that many readers of this column may be laboring under a misapprehension regarding the preparation of the various dishes that are contained herein. My good friend Lou Harrington of the Wrigley," Wood, Morrison
Morrison
Morrison Wood
Wood
MORRISON WOOD"," Chicago, Ill.",21-Oct-49,Chicago Daily Tribune (1923-1963),1949
5 Die In Flaming Firetrap,Overcrowded Chicago Kitchenettes exacted a high toll in lives and misery last week.,," Chicago, Ill.",12-Nov-49,The Chicago Defender (National edition) (1921-1967),1949
Holiday Dinner in Tiny Flat? Here Are Hints,"If lack of space limits your Thanksgiving dinner plans to foods easily prepared in a small kitchenette and served on an equally small dining table, you still can serve a sumptuous meal--on a par with any elaborate feast.",," Chicago, Ill.",22-Nov-49,Chicago Daily Tribune (1923-1963),1949
STORY OF CITY'S BIG PROBLEM: NEGRO HOUSING,"Chicago's housing problem reaches its most acute phase in the districts occupied by Negroes. Thousands of Negro families are living in one room ""kitchenettes,"" each equipped with little more than a bed, an icebox, and a three burner gas stove."," Wiegman, Carl
Carl
Carl Wiegman
Wiegman
CARL WIEGMAN"," Chicago, Ill.",30-Dec-49,Chicago Daily Tribune (1923-1963),1949
"A ""Shoe Box"" Can Be Gracious","HERE is a wee house that is attractive, convenient, charming, yet its size throws it into the shoe box category. It's the type house that could be built now, lived in happily and graciously and later turned into as ideal a guest..."," Louise Price Bell
Louise Price Bell"," Los Angeles, Calif.",19-Mar-50,Los Angeles Times (1923-Current File),1950
EAST ORANGE GETS APARTMENT HOTEL,"A five-story building to be occupied as an apartment hotel is under construction at 235 South Harrison Street in East Orange, N.J. Scheduled for fall occupancy, it will contain suites of one and two rooms and electrically equipped kitchenettes.",," New York, N.Y.",21-May-50,New York Times (1923-Current file),1950
Revolutionize Living Space: Use Room Divider,"Whether you've got an oversized room that you'd like to break down into two informal units, a one-room kitchenette apartment which needs some privacy or whether it's a brand new ranch-style home with enormous rooms that could easily become a..."," Guinn, Lillian
Lillian
Lillian Guinn
Guinn
LILLIAN GUINN"," Chicago, Ill.",8-Jul-50,The Chicago Defender (National edition) (1921-1967),1950
The Apartment Lives Alone,THE shortage of apartments--now greatly relieved--brought about a new type of design which is actually a one-room apartment on its own piece of land. There is little precedent for this living room-kitchenette-bath kind of...," McCoy, Esther
Esther
Esther McCoy
McCoy
Esther McCoy"," Los Angeles, Calif.",11-Feb-51,Los Angeles Times (1923-Current File),1951
STORM WINDOWS AND SNACK BARS IN 1951 TRAILERS,"Picture windows with venetian blinds, an apartment size kitchenette, two compartment bathroom with shower, toilet and bowl, and full size 54 inch or twin beds are only a few of the advantages offered in the new 1951 trailer coaches."," LEE, SHASSERE
SHASSERE
SHASSERE LEE
LEE
LEE SHASSERE"," Chicago, Ill.",18-Feb-51,Chicago Daily Tribune (1923-1963),1951
"GEORGBR.WITTE,56, IS A SUICIDE HERE","George R. Witte, 56-year-old former newspaper man, who at the age of 18 was an assistant correspondent for The United Press in Berlin, was found dead yesterday morning in his apartment at 30 East Ninth Street with gas escaping from five jets of a kitchenette range and a dispossess notice beside him.",," New York, N.Y.",4-Apr-51,New York Times (1923-Current file),1951
AN APARTMENT DULL AND DRAB MADE TO SHINE,"The myriad dwellers in ""efficiency"" apartments in Chicago--the kind with a disappearing bed in the.living room, dressing closet, bath, kitchenette. and dinette-know how uninspired the decoration all too often is. No amount of pictures and personal belongings..."," Douglas, Anne
Anne
Anne Douglas
Douglas
ANNE DOUGLAS"," Chicago, Ill.",2-Sep-51,Chicago Daily Tribune (1923-1963),1951
Canned Goods and Ingenuity Assure Tasty Meals Afloat,"There is not a great deal of difference between cooking on a boat and cooking in the modern apartment house kitchenette. I had a 60 foot sloop in the east whose galley was the size of my present kitchenette, and, except for rough weather, I had no more difficulty..."," Wood, Morrison
Morrison
Morrison Wood
Wood
MORRISON WOOD"," Chicago, Ill.",1-Feb-52,Chicago Daily Tribune (1923-1963),1952
Day Filled with Misfortune Ends Happily--A Prize Story,"It was a hectic morning. Here we were, two sisters with the war bride blues so ordinary about 10 years ago, madly dashing around the kitchenette apartment on Chicago's far north side, throwing last minute travel ""musts"" into an overstocked handbag."," O'DONNELL, MID
MID
MID O'DONNELL
O'DONNELL
MID O'DONNELL"," Chicago, Ill.",7-Mar-53,Chicago Daily Tribune (1923-1963),1953
Sure-Fire Meatloaf Just Doesn't Shrink,"""HERE is a meatloaf recipe that is surefire. There is little shrinkage, and what is more -- no basting is required, and yet it is always a moist loaf. It comes from Meals on Wheels (a cook book for trailers and kitchenettes) by Lou Willson and Olive Hoover:"," Mrs. A.M.,
Mrs. A.M.,"," Washington, D.C.",1-Dec-53,The Washington Post (1923-1954),1953
Two Women Feud; One Shot In Chest; May Be Cripple For Life,A 29-year-old mother and divorcee may be paralyzed for life as the result of a bullet which lodged in her chest during a fight Saturday night with the housekeeper of a kitchenette apartment building at 460 E. Bowen.,," Chicago, Ill.",5-Dec-53,The Chicago Defender (National edition) (1921-1967),1953
"Simple Enjoys Silent Night, Holy Night When The Big Kitchenette Fight Is Over","""Things are certainly not the same for you this holiday season as they were last year,"" I said. ""Now that you are married, I think I see some change for the better in you."""," Hughes, LANGSTON
LANGSTON
LANGSTON Hughes
Hughes
LANGSTON Hughes"," Chicago, Ill.",26-Dec-53,The Chicago Defender (National edition) (1921-1967),1953
Article 4 -- No Title,,," New York, N.Y.",24-Apr-54,New York Times (1923-Current file),1954
News of Food,"More space is being given in household refrigerators to frozen-food storage. Many new models can accomodate fifty to 100 pounds of frozen products. Thus the city family, and even the ""kitchenette"" household, can keep on hand a quantity of frozen foods that a few years ago could be held only if one had a freezer or a locker in a frozen-food plant."," By JANE NICKERSON
By JANE NICKERSON"," New York, N.Y.",8-Jun-54,New York Times (1923-Current file),1954
Omeletes Done To a Turn,"THE omelet party solves that perennial domestic problem -- how to entertain economically and yet with dash. A current fashion in New York, the omelet party may be staged in many settings--a kitchenette, an entrance hall, a dining room, a formal living room --wherever guests can view the preparation."," By JANE NICKERSON
By JANE NICKERSON"," New York, N.Y.",6-Mar-55,New York Times (1923-Current file),1955
THE MOTEL INVASION IS REACHING THE ALPS,"INTERLAKEN, Switzerland-- The first motel in Switzerland, and one of the first in Europe, will be opened here next month. Situated in a flower-carpeted meadow on the bank of the Aare River just outside Interlaken, the motel will contain twenty-one double livingsleeping rooms, each with private bath and kitchenette."," By ROBERT DEARDORFF
By ROBERT DEARDORFF"," New York, N.Y.",15-May-55,New York Times (1923-Current file),1955
"At the National: Kitchenette, Bedroom And Sullavan -- Wow!","THAT LIGHT, civilized, improbable comedy a lot of us have been waiting for finally has arrived, the National's ""Janus."" This is good, literate fun, with Margaret Sullavan heading a dandy small cast which should be sending laughter through the National these next two weeks.",," Washington, D.C.",9-Nov-55,The Washington Post and Times Herald (1954-1959),1955
Uncle eph sayS,KIZZI HAS me out looking for a new kitchenette. Says she can't take living in the one we have any longer. Landlady is too nosey. Tother day we came home and there was a letter on table bearing no address. She had opened the letter and turned the wrong side...," UNCLE EPH
UNCLE EPH"," Chicago, Ill.",21-Feb-56,Daily Defender (Daily Edition) (1956-1960),1956
Flames Trap 3 Locked-In Tots,"A flash fire Tuesday noon swept through a two-room kitchenette apartment at 4173 S. Lake Park ave., and critically burned three baby boys who were left alone while their mother went shopping.",," Chicago, Ill.",28-Nov-56,Daily Defender (Daily Edition) (1956-1960),1956
3 Locked-In Tots Burned As Blaze Sweeps Apartment,"A flash fire Tuesday swept through a two-room kitchenette apartment at 4173 Lake Park ave. Chicago, and critically burned three baby boys who were left alone while their mother went shopping.",," Chicago, Ill.",8-Dec-56,The Chicago Defender (National edition) (1921-1967),1956
Police Hunt Slayer Who Shot Lover,"The inquest into the death of a Southside clerk, reportedly shot to death in her kitchenette apartment Saturday by a suitor, was continued yesterday to Jan. 4, at Wabash ave., police station.",," Chicago, Ill.",11-Dec-56,Daily Defender (Daily Edition) (1956-1960),1956
PLUSH GIFT FROM TODD,,," Los Angeles, Calif.",5-Jan-57,Los Angeles Times (1923-Current File),1957
'1-FAMILY' HOUSE IS ADAPTED FOR 2,"A departure from the conventional design of two-family houses has been taken at a new development in West Babylon, L.I. The model home has the exterior appearance of a onefamily side-to-side split-level, but actually contains two separate apartments."," By WALTER H. STERN
By WALTER H. STERN"," New York, N.Y.",9-Jun-57,New York Times (1923-Current file),1957
A SIMPLE KITCHENETTE THANKSGIVING DINNER,"YES, an elegant holiday meal can emerge from a small kitchen. The preparations of the scrumptious dishes described here are especially planned for you apartment dwellers with merely adequate space and a busy schedule. This Thanksgiving, rather than eating dinner in..."," Meade, Mary
Mary
Mary Meade
Meade
Mary Meade"," Chicago, Ill.",17-Nov-57,Chicago Daily Tribune (1923-1963),1957
Hunt Mother Who Deserts 6,Police are searching for a mother who they charge abandoned her six children who were found hungry and unattended after 36 hours late Sunday afternoon in a kitchenette apartment at 4349 S. Lake Park ave.,," Chicago, Ill.",4-Feb-58,Daily Defender (Daily Edition) (1956-1960),1958
A Home Economist Gives Us Dinner Party Ideas,"HOW does a leading home economist entertain her friends? Pauline Pearson, who is the Beatrice Cooke of the Beatrice Foods company, prefers to have a small group for dinner in her kitchenette..."," Rile, Patricia
Patricia
Patricia Rile
Rile
PATRICIA RILE"," Chicago, Ill.",4-Apr-58,Chicago Daily Tribune (1923-1963),1958
SOME SLIPS DON'T SHOW,"IT WAS a nice, cozy apartment. There was a living room with a davenport, which was evidently where Barclay Fisher woke up, and there was a partially opened door leading to a bedroom. A swinging door evidently opened to a kitchenette. The apartment..."," A A FAIR Erle Stanley Gardner
A A FAIR Erle Stanley Gardner"," Chicago, Ill.",18-Jun-58,Daily Defender (Daily Edition) (1956-1960),1958
